Date,Close,High,Low,Open,Volume,return,log_return,vol_20,vol_60,rsi_14,macd,macd_signal,macd_hist,cum_return,rolling_max,drawdown,macd_up,macd_down,signal,position,asset_return,strategy_return,trade,cost,net_return,equity,equity_peak
2025-01-02,415.5148315429688,422.9500047735069,411.81216477472935,422.4139505741353,16896500.0,-0.0069276467823514,-0.006951754330891,0.0121543977702554,0.0133843533161765,21.88937603939448,-1.1234858632614078,2.360170698947063,-3.4836565622084708,11.671287690560993,12.987547022793397,,False,False,0,0.0,,,,,,,
2025-01-03,420.24993896484375,420.92495225496697,416.4678408938124,417.996542116602,16662900.0,0.0113957603012426,0.0113313177439877,0.0119640339755352,0.0133664053336037,27.51757990397968,-1.6947737005089607,1.5491818190558582,-3.243955519564819,11.804290887489469,12.987547022793397,0.0,False,False,0,0.0,0.011395760301242674,0.0,0.0,0.0,0.0,1.0,1.0
2025-01-06,424.7169799804688,431.13960318889787,422.3643396757335,424.865875513533,20573600.0,0.0106294864114155,0.0105733905838238,0.01189266220911,0.0134075641425258,33.95040712540607,-1.7667050737384216,0.8860044404970022,-2.652709514235424,11.929764437074434,12.987547022793397,0.0,False,False,0,0.0,0.01062948641141559,0.0,0.0,0.0,0.0,1.0,1.0
2025-01-07,419.277099609375,427.4964663093925,417.7185890028598,425.8585548495616,18139100.0,-0.0128082479098056,-0.0128909807178256,0.0121110165104017,0.0135065489890256,26.305495005175345,-2.2368787424956054,0.2614278038984807,-2.498306546394086,11.776965056658804,12.987547022793397,0.0,False,False,0,0.0,-0.012808247909805615,-0.0,0.0,0.0,-0.0,1.0,1.0
2025-01-08,421.4510192871094,423.8433749158129,418.4531451224049,420.3590683350305,15054600.0,0.005184923478434,0.005171528045607,0.0120996368808116,0.0135204598934659,25.483714357590983,-2.4063388364035063,-0.2721255241619167,-2.13421331224159,11.83802771928577,12.987547022793397,0.0,False,False,0,0.0,0.005184923478434023,0.0,0.0,0.0,0.0,1.0,1.0
2025-01-10,415.8821411132813,421.5999414060332,411.98089654314987,421.5205405563737,20201100.0,-0.0132135833560158,-0.0133016594764132,0.0123179495757209,0.0136079949826023,31.38122095748353,-2.9559250453672234,-0.8088854284029781,-2.1470396169642454,11.68160495324616,12.987547022793397,0.0,False,False,0,0.0,-0.013213583356015857,-0.0,0.0,0.0,-0.0,1.0,1.0
2025-01-13,414.1350402832031,415.4354451072025,409.27092762989713,412.19930745359136,17604800.0,-0.0042009518018767,-0.0042098005908162,0.0117647870702384,0.0136187830037733,30.51842513904288,-3.492196642306624,-1.345547671183707,-2.146648971122916,11.632531093869009,12.987547022793397,0.0,False,False,0,0.0,-0.00420095180187674,-0.0,0.0,0.0,-0.0,1.0,1.0
2025-01-14,412.6261596679688,416.6663329915462,407.7123952362894,414.7504731982745,16935900.0,-0.0036434507309559,-0.0036501042636993,0.011708926360287,0.0136023942957852,29.878825852061183,-3.99292188394668,-1.8750225137363017,-2.117899370210377,11.590148539952184,12.987547022793397,0.0,False,False,0,0.0,-0.003643450730955955,-0.0,0.0,0.0,-0.0,1.0,1.0
2025-01-15,423.1882019042969,425.0147242617403,415.2070689754285,416.06078709453215,19637800.0,0.0255971222106401,0.0252750012234672,0.0134224511822124,0.013994360169448,42.70794257067831,-3.4971685258215075,-2.199451716153343,-1.2977168096681644,11.886822988568811,12.987547022793397,0.0,False,False,0,0.0,0.025597122210640144,0.0,0.0,0.0,0.0,1.0,1.0
2025-01-16,421.4708862304688,426.344935079476,421.2823054267876,425.5607418772124,15300000.0,-0.0040580424172989,-0.0040662986149992,0.0131258288537598,0.0140011743370374,37.48938735577752,-3.2058978457060903,-2.4007409420638925,-0.8051569036421977,11.838585756674275,12.987547022793397,0.0,False,False,0,0.0,-0.004058042417298902,-0.0,0.0,0.0,-0.0,1.0,1.0
2025-01-17,425.8883361816406,431.298439525524,425.034648254084,430.9112808415576,26197500.0,0.0104810322503658,0.0104264870276402,0.0133116474836944,0.0140611937756965,42.69862631712176,-2.588770703120929,-2.4383468942753,-0.1504238088456291,11.9626663557887,12.987547022793397,0.0,False,False,0,0.0,0.010481032250365896,0.0,0.0,0.0,0.0,1.0,1.0
2025-01-21,425.3621826171875,427.74460185190514,422.4834247796493,427.04974598441896,26085700.0,-0.001235426095888,-0.0012361898638246,0.0104987166834756,0.013807254816658,48.15889408733765,-2.117737235261359,-2.374224962472512,0.2564877272111525,11.947887365596358,12.987547022793397,0.0,True,False,0,0.0,-0.0012354260958880037,-0.0,0.0,0.0,-0.0,1.0,1.0
2025-01-22,442.9325866699219,443.9947282693763,432.8072669314077,434.3558409675422,27803800.0,0.0413069256524554,0.0404765834990934,0.0141293793327802,0.0147596821994876,65.91686786272999,-0.322932488597587,-1.9639664676975264,1.6410339790999395,12.441417860710958,12.987547022793397,0.0,False,False,0,0.0,0.04130692565245542,0.0,0.0,0.0,0.0,1.0,1.0
2025-01-23,443.4388122558594,443.4785278251988,438.266972657695,438.7633112450764,18389300.0,0.0011428953325458,0.0011422427248692,0.0141206134140182,0.0147594406111987,69.60036369251162,1.127316376625174,-1.3457098988329863,2.4730262754581607,12.455637099114217,12.987547022793397,0.0,False,False,0,0.0,0.0011428953325458568,0.0,0.0,0.0,0.0,1.0,1.0
2025-01-24,440.8082580566406,443.3792885037775,438.1677329312852,441.9002090925553,15549500.0,-0.0059321695045966,-0.0059498347187885,0.0141806126320669,0.0147563320627951,69.89385495510763,2.0408595528406863,-0.668396008498252,2.709255561338938,12.381748148554529,12.987547022793397,0.0,False,False,0,0.0,-0.005932169504596629,-0.0,0.0,0.0,-0.0,1.0,1.0
2025-01-27,431.3778381347656,432.0131661377311,420.3988297966623,420.9051049056437,35647800.0,-0.0213934738052553,-0.0216256312399449,0.0148867264908919,0.0150214446621989,58.15036462610458,1.981056639551184,-0.1385054788883647,2.119562118439549,12.116859543875158,12.987547022793397,0.0,False,False,0,0.0,-0.02139347380525536,-0.0,0.0,0.0,-0.0,1.0,1.0
2025-01-28,443.9252624511719,445.0966142937209,428.2211016468738,431.4175234893937,23491700.0,0.0290868542775866,0.0286718597792798,0.0162648907437995,0.0153940337509464,62.57964997779533,2.9125604946696058,0.4717077158232294,2.4408527788463763,12.46930087172984,12.987547022793397,0.0,False,False,0,0.0,0.029086854277586616,0.0,0.0,0.0,0.0,1.0,1.0
2025-01-29,439.0909118652344,443.60761150041753,437.1750520555274,443.41900040059096,23581400.0,-0.0108900100869326,-0.0109497402842455,0.0159420167927132,0.0154666072363063,63.07995737111112,3.2235334341928024,1.022072859497144,2.201460574695658,12.333510059459703,12.987547022793397,0.0,False,False,0,0.0,-0.010890010086932689,-0.0,0.0,0.0,-0.0,1.0,1.0
2025-01-30,411.95111083984375,419.7634757332681,410.1345248522129,415.7034295288443,54586300.0,-0.0618090702677088,-0.0638018008681609,0.0211497754804964,0.0155529890633676,45.28339222786166,1.2654394054782188,1.070746168693359,0.1946932367848597,11.571187269547064,12.987547022793397,0.0,False,False,0,0.0,-0.06180907026770888,-0.0,0.0,0.0,-0.0,1.0,1.0
2025-01-31,412.0205993652344,417.6093768911104,411.8717038429144,415.911907348454,34161900.0,0.0001686814856476,0.0001686672605254,0.0210883383176005,0.0155040838995212,47.97204146597029,-0.2775575654833346,0.8010854218580203,-1.078642987341355,11.573139114606398,12.987547022793397,0.0,False,True,-1,0.0,0.00016868148564763707,0.0,0.0,0.0,0.0,1.0,1.0
2025-02-03,407.9109191894531,412.3680300232083,405.6674590737405,408.5859323997036,25679100.0,-0.009974453175673,-0.0100245313133839,0.0211477110409008,0.0155482923310022,46.81043919954459,-1.811133011849108,0.2786417351165947,-2.089774746965703,11.457703380412209,12.987547022793397,0.0,False,False,0,0.0,-0.009974453175673026,-0.0,0.0,0.0,-0.0,1.0,1.0
2025-02-04,409.3503112792969,410.8889791877868,406.739565274027,409.6679752687522,20532100.0,0.0035286922269792,0.0035224809999467,0.020983248812232,0.0155265832084666,48.32008984310319,-2.877189243152713,-0.3525244605372669,-2.5246647826154467,11.4981340892697,12.987547022793397,0.0,False,False,0,0.0,0.0035286922269792687,0.0,0.0,0.0,0.0,1.0,1.0
2025-02-05,410.26361083984375,410.7996347714461,407.3947588943965,409.3304917519487,16316700.0,0.0022310953122097,0.0022286101148525,0.0208195245930767,0.0152829028555034,42.64410766819985,-3.606774197399318,-1.0033744079096771,-2.603399789489641,11.52378752233543,12.987547022793397,0.0,False,False,0,0.0,0.0022310953122097743,0.0,0.0,0.0,0.0,1.0,1.0
2025-02-06,412.7750244140625,415.1376009046221,410.9683447102107,410.9683447102107,16309800.0,0.0061214631467745,0.0061028031037029,0.0207094031962375,0.0152156970650445,45.0951784557315,-3.9369428172001335,-1.5900880897677685,-2.346854727432365,11.594329962964666,12.987547022793397,0.0,False,False,0,0.0,0.006121463146774531,0.0,0.0,0.0,0.0,1.0,1.0
2025-02-07,406.7494812011719,415.58430218979566,405.1115698860282,413.4302096384315,22886800.0,-0.0145976448585859,-0.0147052388391921,0.0208914446262019,0.0153058260957724,39.39724383995932,-4.631426603916225,-2.19835579259746,-2.433070811318765,11.425080051792046,12.987547022793397,0.0,False,False,0,0.0,-0.014597644858585945,-0.0,0.0,0.0,-0.0,1.0,1.0
