Date,Close,High,Low,Open,Volume,return,log_return,vol_20,vol_60,rsi_14,macd,macd_signal,macd_hist,cum_return,rolling_max,drawdown,macd_up,macd_down,signal,position,asset_return,strategy_return,trade,cost,net_return,equity,equity_peak
2025-01-02,20.21999931335449,20.43000030517578,20.0,20.229999542236328,46438500.0,0.0084788071203369,0.0084430639328605,0.0254297058731186,0.028412777166572,50.86804198814528,-0.720330992195251,-0.826441578576028,0.1061105863807769,0.8182707800821241,2.512412686663086,,False,False,0,0.0,,,,,,,
2025-01-03,20.559999465942383,20.670000076293945,20.059999465942383,20.38999938964844,48983900.0,0.0168150427365909,0.0166752349778036,0.0255131631636385,0.0279444521206701,47.97793086425293,-0.6437214485080816,-0.7898975525624388,0.1461761040543572,0.8320300382193085,2.512412686663086,0.0,False,False,0,0.0,0.016815042736590957,0.0,0.0,0.0,0.0,1.0,1.0
2025-01-06,19.8700008392334,20.979999542236328,19.780000686645508,20.82999992370605,83271000.0,-0.0335602453614829,-0.0341363158114691,0.0238411103903241,0.0282246201686295,45.86995369735642,-0.6314064947754581,-0.7581993410050427,0.1267928462295846,0.8041069059885445,2.512412686663086,0.0,False,False,0,0.0,-0.03356024536148294,-0.0,0.0,0.0,-0.0,1.0,1.0
2025-01-07,20.01000022888184,20.34000015258789,19.89999961853028,20.020000457763672,61726100.0,0.0070457666701257,0.0070210612340853,0.0238647354560908,0.0282312389956804,42.32210045512058,-0.6033944686622661,-0.7272383665364874,0.1238438978742213,0.8097724556259766,2.512412686663086,0.0,False,False,0,0.0,0.007045766670125797,0.0,0.0,0.0,0.0,1.0,1.0
2025-01-08,19.8799991607666,20.1200008392334,19.709999084472656,19.82999992370605,47897100.0,-0.0064968049289474,-0.0065180010205474,0.0238753817239907,0.028150719692922,44.48817744643657,-0.5849418898914678,-0.6987790712074835,0.1138371813160157,0.8045115219449398,2.512412686663086,0.0,False,False,0,0.0,-0.006496804928947442,-0.0,0.0,0.0,-0.0,1.0,1.0
2025-01-10,19.14999961853028,19.65999984741211,18.90999984741211,19.65999984741211,71244600.0,-0.0367203004553937,-0.0374114633069027,0.0242572198604398,0.0284952664677034,48.39400839315074,-0.6220523185555145,-0.6834337206770897,0.0613814021215752,0.7749696171392955,2.512412686663086,0.0,False,False,0,0.0,-0.03672030045539354,-0.0,0.0,0.0,-0.0,1.0,1.0
2025-01-13,19.200000762939453,19.25,18.729999542236328,18.920000076293945,50669000.0,0.0026110258697233,0.0026076230636,0.0242819648815465,0.0282236008880404,51.56251396983409,-0.640049830136526,-0.674756942568977,0.0347071124324509,0.7769930828578958,2.512412686663086,0.0,False,False,0,0.0,0.0026110258697231714,0.0,0.0,0.0,0.0,1.0,1.0
2025-01-14,19.200000762939453,19.520000457763672,18.81999969482422,19.36000061035156,47147500.0,0.0,0.0,0.0228703463840884,0.0281726876895413,46.01990474645077,-0.646856429464826,-0.6691768399481468,0.0223204104833207,0.7769930828578958,2.512412686663086,0.0,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2025-01-15,19.71999931335449,19.770000457763672,19.170000076293945,19.39999961853028,56306000.0,0.0270832567579244,0.0267229955845715,0.0234670422974641,0.0284068645039769,43.78236255349591,-0.6033362861195322,-0.6560087291824239,0.0526724430628917,0.7980365860200674,2.512412686663086,0.0,False,False,0,0.0,0.027083256757924445,0.0,0.0,0.0,0.0,1.0,1.0
2025-01-16,19.670000076293945,19.950000762939453,19.39999961853028,19.75,44898100.0,-0.0025354583570742,-0.0025386780750729,0.0226944187954955,0.0283246043483902,40.16172880888868,-0.5663522236501883,-0.6380774280759768,0.0717252044257884,0.7960131974887918,2.512412686663086,0.0,False,False,0,0.0,-0.0025354583570742495,-0.0,0.0,0.0,-0.0,1.0,1.0
